movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
94262,˜˜˜˜˜˜˜˜˜˜,7.697,196,1973.0,1989,7.1,277.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜˜, ˜˜˜˜˜˜˜˜ (˜˜˜), ˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜˜]",,,
94263,˜˜˜˜˜˜ ˜ ˜˜˜˜˜˜˜˜˜˜: ˜˜˜˜˜˜˜˜˜ ˜˜˜˜ (˜˜),6.255,178,253.0,1996,6.3,501.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜, ˜˜˜]",,,The Thorn Birds: The Missing Years
94267,˜˜˜˜˜˜ ˜˜˜˜˜˜˜ (˜˜),7.332,183,1450.0,2001,7.0,6962.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜]","[˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜]",$20˜000˜000,43.0,The Mists of Avalon
942677,˜˜˜˜˜ ˜˜˜˜ (˜˜),5.259,-,108.0,2013,,,[˜˜˜˜˜˜˜˜˜],[˜˜˜˜˜˜],,,
94269,˜˜˜˜˜˜˜˜˜˜  ˜˜ ˜˜˜˜˜˜˜˜˜-˜˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),7.274,159,698.0,1996,7.5,1717.0,[˜˜˜˜˜],[˜˜˜˜˜˜˜˜˜˜˜˜˜˜],,,The Tenant of Wildfell Hall
94271,˜˜˜˜˜˜ ˜˜˜˜˜˜: ˜˜˜˜˜-˜˜˜˜˜˜˜˜˜˜˜˜ (˜˜),7.489,180,256.0,1995,6.7,924.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",,,Moses
94272,˜˜˜˜˜˜˜ ˜˜˜˜˜ ˜˜ ˜˜˜˜˜˜ (˜˜),6.719,105,182.0,1995,6.1,332.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]",[˜˜˜],,,No Greater Love
94274,˜˜˜˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜ (˜˜),7.603,150,189.0,2002,6.0,718.0,[˜˜˜˜˜],[˜˜˜],$16˜000˜000,,The Magnificent Ambersons
94276,˜˜˜˜˜˜ ˜˜˜ ˜˜˜˜˜˜˜˜˜˜˜˜ (˜˜),6.546,98,1577.0,1991,5.7,6142.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜]",[˜˜˜],,,Sometimes They Come Back
9428,˜˜˜˜˜˜˜˜˜ ˜˜˜˜,6.503,127,137.0,1989,6.5,5289.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,53.0,Fat Man and Little Boy
9429,˜˜˜˜˜˜ ˜˜ ˜ ˜˜˜˜,5.894,115,341.0,2003,6.4,1292.0,"[˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]",,75.0,Pas sur la bouche
94293,˜˜˜˜˜˜ ˜˜˜˜˜˜,6.755,138,283.0,1985,5.6,22.0,[˜˜˜˜˜˜˜],[˜˜˜˜],,,
94295,˜˜˜˜˜˜ ˜˜˜˜˜˜ ˜˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),7.414,208,353.0,1975,8.5,15.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜],,,
94296,˜˜˜˜˜˜˜˜˜˜˜˜: ˜˜˜˜˜˜˜˜ ˜˜˜˜,8.115,93,7499.0,1968,8.0,707.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜˜, ˜˜˜˜˜˜˜˜ (˜˜˜), ˜˜˜˜˜˜, ˜˜˜˜˜˜]",,,
942965,˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜ (˜˜˜˜˜˜),5.931,-,148.0,2015,,,[˜˜˜˜˜˜˜˜˜],[˜˜˜˜˜˜],,,
